,scrape_datetime,game_datetime,top_team,top_final,bottom_final,bottom_team,top_spread,top_spread_odds,top_ml_odds,top_total,top_total_odds,bottom_spread,bottom_spread_odds,bottom_ml_odds,bottom_total,bottom_total_odds
4,2022-03-18 20:26:27,2022-03-18 20:25:00,Notre Dame,,,Alabama,+4.5,-105,+170,153.5,-110,-4.5,-115,-200,153.5,-110
5,2022-03-18 20:26:27,2022-03-18 20:38:00,Virginia Tech,,,Texas,+1.0,-110,+105,125.0,-110,-1.0,-110,-125,125.0,-110
6,2022-03-18 22:11:33,2022-03-18 22:50:00,Chattanooga,,,Illinois,+7.5,-105,+280,137.0,-110,-7.5,-115,-360,137.0,-110
7,2022-03-18 23:11:38,2022-03-18 23:10:00,CS Fullerton,,,Duke,+19.0,-115,+1150,145.5,-110,-19.0,-105,-3200,145.5,-110
8,2022-03-18 23:11:38,2022-03-18 23:20:00,Iowa State,,,LSU,+4.0,-105,+160,129.0,-110,-4.0,-115,-185,129.0,-110
9,2022-03-19 00:42:55,2022-03-19 01:20:00,UAB,,,Houston,+9.0,-110,+315,137.5,-110,-9.0,-110,-420,137.5,-110
10,2022-03-19 00:42:55,2022-03-19 01:40:00,Davidson,,,Michigan State,-1.5,-105,-125,140.0,-110,+1.5,-115,+105,140.0,-110
11,2022-03-19 00:42:55,2022-03-19 01:57:00,TCU,,,Seton Hall,+1.0,-105,+105,128.0,-110,-1.0,-115,-125,128.0,-110
12,2022-03-19 02:07:05,2022-03-19 02:35:00,Colgate,,,Wisconsin,+7.5,-115,+270,139.5,-110,-7.5,-105,-340,139.5,-110
13,2022-03-19 02:07:05,2022-03-19 16:00:00,IPFW,,,Drake,+10.0,-110,+375,139.0,-110,-10.0,-110,-520,139.0,-110
14,2022-03-19 02:07:05,2022-03-19 16:00:00,Oregon,,,Texas A&M,+5.0,-110,+175,144.0,-110,-5.0,-110,-210,144.0,-110
15,2022-03-19 02:07:05,2022-03-19 16:10:00,North Carolina,,,Baylor,+5.5,-110,+195,148.5,-110,-5.5,-110,-235,148.5,-110
16,2022-03-19 02:07:05,2022-03-19 18:30:00,NC Asheville,,,Stephen F. Austin,+6.5,-110,+230,143.5,-110,-6.5,-110,-280,143.5,-110
17,2022-03-19 02:07:05,2022-03-19 18:40:00,Creighton,,,Kansas,+11.5,-110,+525,140.0,-105,-11.5,-110,-800,140.0,-115
18,2022-03-19 02:07:05,2022-03-19 19:00:00,Western Illinois,,,UTEP,+7.5,-110,+280,145.0,-110,-7.5,-110,-360,145.0,-110
19,2022-03-19 02:07:05,2022-03-19 20:00:00,Va Commonwealth,,,Wake Forest,+5.0,-110,+175,144.0,-110,-5.0,-110,-210,144.0,-110
20,2022-03-19 02:07:05,2022-03-19 21:00:00,California Baptist,,,Middle Tennessee State,+6.0,-110,+215,139.0,-105,-6.0,-110,-260,139.0,-115
21,2022-03-19 02:07:05,2022-03-19 21:15:00,Michigan,,,Tennessee,+6.0,-110,+210,136.0,-110,-6.0,-110,-250,136.0,-110
22,2022-03-19 02:07:05,2022-03-19 22:10:00,Richmond,,,Providence,+3.0,-110,+130,134.5,-110,-3.0,-110,-150,134.5,-110
23,2022-03-19 02:07:05,2022-03-19 23:10:00,Saint Mary's CA,,,UCLA,+2.0,-105,+120,126.0,-110,-2.0,-115,-140,126.0,-110
24,2022-03-19 02:07:05,2022-03-19 23:30:00,Rice,,,Ohio,+6.0,-110,+215,147.5,-110,-6.0,-110,-260,147.5,-110
25,2022-03-19 02:07:05,2022-03-19 23:45:00,St. Peter's,,,Murray State,+8.5,-105,+315,130.0,-110,-8.5,-115,-420,130.0,-110
26,2022-03-19 02:07:05,2022-03-20 00:40:00,New Mexico State,,,Arkansas,+7.0,-110,+250,138.0,-110,-7.0,-110,-300,138.0,-110
27,2022-03-19 02:07:05,2022-03-20 01:00:00,Northern Iowa,,,BYU,+6.0,-110,+210,149.0,-110,-6.0,-110,-250,149.0,-110
28,2022-03-19 02:07:05,2022-03-20 01:40:00,Memphis,,,Gonzaga,+10.0,-110,+450,155.0,-110,-10.0,-110,-665,155.0,-110
29,2022-03-19 02:07:05,2022-03-20 02:00:00,New Orleans,,,Portland,+9.0,-115,+335,154.5,-110,-9.0,-105,-455,154.5,-110
0,2022-03-19 02:07:05,2022-03-20 16:00:00,Miami Florida,,,Auburn,+7.5,-110,+270,144.5,-110,-7.5,-110,-340,144.5,-110
1,2022-03-19 02:07:05,2022-03-20 16:00:00,Notre Dame,,,Texas Tech,+7.5,-110,+260,133.0,-110,-7.5,-110,-320,133.0,-110
2,2022-03-19 02:07:05,2022-03-20 16:00:00,Ohio State,,,Villanova,+5.5,-110,+180,132.0,-110,-5.5,-110,-220,132.0,-110
3,2022-03-19 02:07:05,2022-03-20 16:00:00,Texas,,,Purdue,+3.5,-110,+145,134.5,-110,-3.5,-110,-170,134.5,-110
30,2022-03-19 02:07:05,2022-03-20 17:00:00,Florida,,,Xavier,+3.0,-110,+135,144.5,-110,-3.0,-110,-160,144.5,-110
31,2022-03-19 02:07:05,2022-03-20 18:30:00,Northern Colorado,,,Florida Atlantic,+5.0,-110,+175,156.5,-110,-5.0,-110,-210,156.5,-110
32,2022-03-19 02:07:05,2022-03-20 19:00:00,Dayton,,,Vanderbilt,+2.0,-110,+115,135.0,-110,-2.0,-110,-135,135.0,-110
33,2022-03-19 02:07:05,2022-03-20 19:00:00,Washington State,,,SMU,+3.0,-110,+130,140.5,-110,-3.0,-110,-150,140.5,-110
34,2022-03-19 02:07:05,2022-03-20 21:00:00,Boston U,,,NC Greensboro,+1.5,-105,+105,133.0,-110,-1.5,-115,-125,133.0,-110
35,2022-03-19 02:07:05,2022-03-20 22:00:00,Virginia,,,North Texas,+3.0,-110,+135,110.5,-110,-3.0,-110,-160,110.5,-110
36,2022-03-19 02:07:05,2022-03-20 23:30:00,Troy,,,Abilene Christian,+4.5,-110,+165,138.5,-110,-4.5,-110,-195,138.5,-110
37,2022-03-19 02:07:05,2022-03-21 00:00:00,St. Bonaventure,,,Oklahoma,+6.5,-110,+225,137.0,-110,-6.5,-110,-275,137.0,-110
